Time,Signal
221,10.17246142
221.25,9.819250954
221.5,9.607324675
221.75,9.324756302
222,9.018640565
222.25,8.806714285
222.5,8.429956455
222.75,8.288672268
223,7.935461802
223.25,7.794177616
223.5,7.44096715
223.75,7.299682964
224,6.993567226
224.25,6.899377769
224.5,6.569714667
224.75,6.47552521
225,6.216504201
225.25,6.028125286
225.5,5.933935829
225.75,5.651367456
226,5.557177998
226.25,5.462988541
226.5,5.180420168
226.75,5.015588617
227,4.944946524
227.25,4.70947288
227.5,4.544641329
227.75,4.521093965
228,4.473999236
228.25,4.356262414
228.5,4.167883499
228.75,4.144336134
229,4.12078877
229.25,4.12078877
229.5,4.026599312
229.75,3.838220397
230,3.720483575
230.25,3.649841482
230.5,3.53210466
230.75,3.485009931
231,3.437915202
231.25,3.367273109
231.5,3.249536287
231.75,3.202441558
232,3.202441558
232.25,3.178894194
232.5,3.178894194
232.75,3.155346829
233,3.037610007
233.25,2.94342055
233.5,2.802136363
233.75,2.755041635
234,2.73149427
234.25,2.73149427
234.5,2.73149427
234.75,2.707946906
235,2.707946906
235.25,2.684399541
235.5,2.613757448
235.75,2.519567991
236,2.401831169
236.25,2.331189075
236.5,2.331189075
236.75,2.284094347
237,2.260546982
237.25,2.260546982
237.5,2.260546982
237.75,2.260546982
238,2.236999618
238.25,2.236999618
238.5,2.236999618
238.75,2.213452253
239,2.189904889
239.25,2.095715432
239.5,2.048620703
239.75,1.954431245
240,1.907336516
240.25,1.860241788
240.5,1.836694423
240.75,1.813147059
241,1.813147059
241.25,1.789599694
241.5,1.789599694
241.75,1.789599694
242,1.789599694
242.25,1.789599694
242.5,1.76605233
242.75,1.76605233
243,1.76605233
243.25,1.742504966
243.5,1.742504966
243.75,1.695410237
244,1.624768144
244.25,1.601220779
244.5,1.577673415
244.75,1.577673415
245,1.483483957
245.25,1.459936593
245.5,1.412841864
245.75,1.3892945
246,1.365747135
246.25,1.365747135
246.5,1.342199771
246.75,1.318652406
247,1.318652406
247.25,1.318652406
247.5,1.318652406
247.75,1.318652406
248,1.318652406
248.25,1.318652406
248.5,1.318652406
248.75,1.318652406
249,1.295105042
249.25,1.295105042
249.5,1.295105042
249.75,1.295105042
250,1.271557678
250.25,1.224462949
250.5,1.153820856
250.75,1.130273491
251,1.130273491
251.25,1.130273491
251.5,1.17736822
251.75,1.200915584
252,1.200915584
252.25,1.083178762
252.5,1.059631398
252.75,1.036084034
253,0.96544194
253.25,0.847705118
253.5,0.80061039
253.75,0.706420932
254,0.753515661
254.25,0.80061039
254.5,0.777063025
254.75,0.777063025
255,0.824157754
255.25,0.847705118
255.5,0.847705118
255.75,0.847705118
256,0.847705118
256.25,0.847705118
256.5,0.847705118
256.75,0.847705118
257,0.824157754
257.25,0.824157754
257.5,0.824157754
257.75,0.824157754
258,0.824157754
258.25,0.80061039
258.5,0.80061039
258.75,0.80061039
259,0.777063025
259.25,0.753515661
259.5,0.706420932
259.75,0.729968296
260,0.682873568
260.25,0.659326203
260.5,0.612231474
260.75,0.565136746
261,0.518042017
261.25,0.447399924
261.5,0.494494652
261.75,0.447399924
262,0.400305195
262.25,0.423852559
262.5,0.400305195
262.75,0.400305195
263,0.37675783
263.25,0.37675783
263.5,0.37675783
263.75,0.37675783
264,0.37675783
264.25,0.37675783
264.5,0.37675783
264.75,0.37675783
265,0.353210466
265.25,0.37675783
265.5,0.353210466
265.75,0.353210466
266,0.353210466
266.25,0.353210466
266.5,0.353210466
266.75,0.353210466
267,0.329663102
267.25,0.353210466
267.5,0.329663102
267.75,0.306115737
268,0.306115737
268.25,0.306115737
268.5,0.282568373
268.75,0.282568373
269,0.188378915
269.25,0.188378915
269.5,0.188378915
269.75,0.164831551
270,0.164831551
270.25,0.117736822
270.5,0.141284186
270.75,0.117736822
271,0.070642093
271.25,0.047094729
271.5,0.070642093
271.75,0.070642093
272,0.094189458
272.25,0.047094729
272.5,0.023547364
272.75,0.023547364
273,-0.047094729
273.25,-0.117736822
273.5,-0.164831551
273.75,-0.188378915
274,-0.070642093
274.25,-0.047094729
274.5,-0.047094729
274.75,-0.047094729
275,-0.047094729
275.25,-0.070642093
275.5,-0.070642093
275.75,-0.070642093
276,-0.070642093
276.25,-0.070642093
276.5,-0.094189458
276.75,-0.117736822
277,-0.164831551
277.25,-0.235473644
277.5,-0.259021008
277.75,-0.188378915
278,-0.117736822
278.25,-0.094189458
278.5,-0.117736822
278.75,-0.094189458
279,-0.094189458
279.25,-0.094189458
279.5,-0.094189458
279.75,-0.117736822
280,-0.117736822
280.25,-0.117736822
280.5,-0.094189458
280.75,-0.094189458
281,-0.117736822
281.25,-0.094189458
281.5,-0.117736822
281.75,-0.117736822
282,-0.117736822
282.25,-0.117736822
282.5,-0.117736822
282.75,-0.117736822
283,-0.117736822
283.25,-0.117736822
283.5,-0.141284186
283.75,-0.141284186
284,-0.141284186
284.25,-0.141284186
284.5,-0.141284186
284.75,-0.164831551
285,-0.21192628
285.25,-0.21192628
285.5,-0.235473644
285.75,-0.21192628
286,-0.259021008
286.25,-0.235473644
286.5,-0.235473644
286.75,-0.259021008
287,-0.282568373
287.25,-0.259021008
287.5,-0.306115737
287.75,-0.37675783
288,-0.353210466
288.25,-0.306115737
288.5,-0.329663102
288.75,-0.353210466
289,-0.400305195
289.25,-0.423852559
289.5,-0.37675783
289.75,-0.400305195
290,-0.423852559
290.25,-0.470947288
290.5,-0.494494652
290.75,-0.518042017
291,-0.494494652
291.25,-0.518042017
291.5,-0.494494652
291.75,-0.518042017
292,-0.541589381
292.25,-0.541589381
292.5,-0.565136746
292.75,-0.541589381
293,-0.541589381
293.25,-0.541589381
293.5,-0.565136746
293.75,-0.541589381
294,-0.541589381
294.25,-0.565136746
294.5,-0.565136746
294.75,-0.565136746
295,-0.565136746
295.25,-0.565136746
295.5,-0.565136746
295.75,-0.565136746
